,Frame,label,id,confidence
0,1,car,0,50.04
1,1,bus,1,50.17
2,1,car,4,55.23
3,1,car,5,62.95
4,1,car,7,65.73
5,1,car,8,68.09
6,1,truck,9,68.54
7,1,car,10,75.66
8,1,car,11,76.58
9,1,car,12,76.88
10,1,car,13,77.47
11,1,car,14,80.26
12,1,car,0,81.64
13,1,car,15,82.54
14,1,car,16,83.23
15,1,car,17,87.7
16,1,car,18,87.96
17,1,car,19,88.97
18,2,car,0,50.11
19,2,bus,1,50.33
20,2,car,4,55.22
21,2,car,5,62.35
22,2,car,7,65.92
23,2,car,8,68.2
24,2,truck,9,68.44
25,2,car,10,75.46
26,2,car,11,76.83
27,2,car,12,76.86
28,2,car,13,77.24
29,2,car,14,80.34
30,2,car,0,81.53
31,2,car,15,82.41
32,2,car,16,83.19
33,2,car,17,87.73
34,2,car,18,88.04
35,2,car,19,88.96
36,3,car,4,54.76
37,3,car,5,60.98
38,3,car,7,62.78
39,3,car,10,67.61
40,3,truck,9,68.17
41,3,car,7,69.08
42,3,car,13,74.55
43,3,car,12,76.66
44,3,car,14,78.05
45,3,car,8,78.27
46,3,car,0,80.97
47,3,car,15,82.35
48,3,car,16,82.99
49,3,car,17,87.75
50,3,car,18,88.02
51,3,car,19,89.08
52,4,car,4,54.75
53,4,car,5,61.58
54,4,car,7,64.21
55,4,car,7,65.07
56,4,car,13,67.87
57,4,truck,9,68.53
58,4,car,10,69.05
59,4,car,12,75.8
60,4,car,7,79.61
61,4,car,14,80.72
62,4,car,0,81.16
63,4,car,15,82.38
64,4,car,16,83.08
65,4,car,17,87.92
66,4,car,19,88.33
67,4,car,18,88.34
68,5,car,0,50.42
69,5,car,4,54.85
70,5,car,5,62.52
71,5,car,13,65.09
72,5,car,7,65.54
73,5,car,10,67.75
74,5,car,7,67.97
75,5,truck,9,68.65
76,5,car,12,75.96
77,5,car,8,80.96
78,5,car,14,80.99
79,5,car,0,81.77
80,5,car,15,82.38
81,5,car,16,83.08
82,5,car,17,87.9
83,5,car,18,88.36
84,5,car,19,88.85
85,6,car,0,51.77
86,6,car,4,55.55
87,6,car,13,60.77
88,6,car,8,62.47
89,6,car,5,63.9
90,6,truck,9,67.36
91,6,car,7,69.39
92,6,car,10,70.06
93,6,car,7,70.16
94,6,car,12,76.36
95,6,car,0,81.93
96,6,car,14,82.06
97,6,car,15,82.4
98,6,car,16,83.11
99,6,car,19,87.35
100,6,car,17,87.97
101,6,car,18,88.8
102,7,car,0,50.53
103,7,car,4,55.08
104,7,car,5,64.43
105,7,truck,9,66.24
106,7,car,13,67.5
107,7,car,10,70.49
108,7,car,7,72.88
109,7,car,12,76.39
110,7,car,7,76.94
111,7,car,14,78.92
112,7,car,0,81.28
113,7,car,15,82.36
114,7,car,16,83.33
115,7,car,19,85.51
116,7,car,17,87.93
117,7,car,18,88.51
118,8,car,0,50.55
119,8,car,4,55.08
120,8,car,5,64.48
121,8,truck,9,66.23
122,8,car,13,67.48
123,8,car,10,70.42
124,8,car,7,73.0
125,8,car,12,76.4
126,8,car,7,76.97
127,8,car,14,78.98
128,8,car,0,81.28
129,8,car,15,82.35
130,8,car,16,83.3
131,8,car,19,85.51
132,8,car,17,87.93
133,8,car,18,88.51
134,9,car,4,53.38
135,9,car,5,63.18
136,9,truck,9,65.71
137,9,car,13,66.39
138,9,car,10,67.28
139,9,car,20,67.82
140,9,car,12,76.34
141,9,car,14,78.28
142,9,car,0,80.49
143,9,car,15,82.73
144,9,car,16,83.3
145,9,car,7,85.35
146,9,car,17,88.19
147,9,car,19,88.37
148,9,car,18,88.7
149,10,car,0,50.06
150,10,car,4,53.22
151,10,car,13,62.09
152,10,car,5,64.68
153,10,truck,9,65.99
154,10,car,7,66.21
155,10,car,10,69.92
156,10,car,12,77.05
157,10,car,14,79.26
158,10,car,0,80.44
159,10,car,16,83.47
160,10,car,15,83.5
161,10,car,7,83.67
162,10,car,19,87.72
163,10,car,17,88.16
164,10,car,18,88.87
165,11,car,4,53.47
166,11,car,13,62.87
167,11,truck,9,64.92
168,11,car,5,67.12
169,11,car,10,69.84
170,11,car,7,70.7
171,11,car,12,76.9
172,11,car,14,78.08
173,11,car,0,80.64
174,11,car,16,83.02
175,11,car,7,83.07
176,11,car,15,83.33
177,11,car,19,87.66
178,11,car,17,87.94
179,11,car,18,88.76
180,12,car,0,53.42
181,12,car,4,56.74
182,12,car,20,61.8
183,12,truck,9,64.68
184,12,car,21,68.13
185,12,car,10,69.48
186,12,car,13,69.49
187,12,car,5,69.57
188,12,car,14,71.09
189,12,car,12,78.46
190,12,car,7,79.75
191,12,car,0,81.53
192,12,car,15,83.07
193,12,car,16,83.2
194,12,car,19,87.89
195,12,car,17,88.01
196,12,car,18,88.84
197,13,car,0,53.08
198,13,car,4,55.74
199,13,car,21,61.21
200,13,car,20,64.74
201,13,truck,9,65.04
202,13,car,5,68.74
203,13,car,13,70.19
204,13,car,10,71.03
205,13,car,14,71.33
206,13,car,12,78.5
207,13,car,7,78.92
208,13,car,0,81.17
209,13,car,15,83.06
210,13,car,16,83.2
211,13,car,19,87.15
212,13,car,17,88.02
213,13,car,18,88.8
214,14,car,0,53.1
215,14,car,4,55.74
216,14,car,7,61.1
217,14,car,20,64.82
218,14,truck,9,65.04
219,14,car,5,68.75
220,14,car,13,70.17
221,14,car,10,71.01
222,14,car,14,71.39
223,14,car,12,78.52
224,14,car,7,78.95
225,14,car,0,81.17
226,14,car,15,83.07
227,14,car,16,83.21
228,14,car,19,87.17
229,14,car,17,88.02
230,14,car,18,88.8
231,15,car,0,53.0
232,15,car,4,55.52
233,15,car,20,60.38
234,15,truck,9,65.7
235,15,car,13,66.75
236,15,car,21,67.86
237,15,car,10,68.33
238,15,car,5,68.81
239,15,car,14,74.96
240,15,car,12,79.01
241,15,car,0,80.99
242,15,car,7,82.01
243,15,car,15,83.15
244,15,car,16,83.29
245,15,car,19,86.51
246,15,car,17,88.07
247,15,car,18,89.0
248,16,car,20,51.68
249,16,car,0,52.5
250,16,car,4,53.63
251,16,car,10,62.1
252,16,car,14,63.46
253,16,truck,9,65.41
254,16,car,5,66.99
255,16,car,13,70.1
256,16,car,7,74.43
257,16,car,12,78.89
258,16,car,0,80.05
259,16,car,15,83.01
260,16,car,16,83.15
261,16,car,19,84.62
262,16,car,17,88.14
263,16,car,18,88.93
264,17,car,0,50.76
265,17,car,4,52.03
266,17,car,20,53.99
267,17,truck,9,64.51
268,17,car,14,65.6
269,17,car,5,66.62
270,17,car,10,67.37
271,17,car,13,67.8
272,17,car,7,77.57
273,17,car,12,78.98
274,17,car,0,79.04
275,17,car,19,81.54
276,17,car,16,83.27
277,17,car,15,83.36
278,17,car,17,88.23
279,17,car,18,88.94
280,18,car,4,51.89
281,18,truck,9,64.03
282,18,car,13,64.88
283,18,car,14,65.86
284,18,car,10,66.81
285,18,car,5,67.58
286,18,car,7,70.66
287,18,car,0,79.16
288,18,car,12,79.68
289,18,car,19,80.06
290,18,car,16,83.08
291,18,car,15,83.27
292,18,car,17,88.23
293,18,car,18,89.03
294,19,car,0,50.19
295,19,car,20,51.76
296,19,car,4,53.31
297,19,car,14,59.28
298,19,car,13,60.25
299,19,truck,9,63.72
300,19,car,10,64.52
301,19,car,7,67.28
302,19,car,5,68.67
303,19,car,14,77.6
304,19,car,12,79.06
305,19,car,0,79.26
306,19,car,16,83.04
307,19,car,15,83.18
308,19,car,17,88.09
309,19,car,18,88.85
310,20,car,0,50.25
311,20,car,20,51.72
312,20,car,4,53.34
313,20,car,14,59.34
314,20,car,13,60.23
315,20,truck,9,63.7
316,20,car,10,64.57
317,20,car,7,67.08
318,20,car,5,68.7
319,20,car,14,77.65
320,20,car,12,79.06
321,20,car,0,79.3
322,20,car,16,83.04
323,20,car,15,83.18
324,20,car,17,88.09
325,20,car,18,88.85
326,21,car,4,51.15
327,21,car,7,54.09
328,21,car,13,55.15
329,21,car,2,55.29
330,21,car,10,62.86
331,21,car,5,64.21
332,21,car,22,64.55
333,21,truck,9,66.59
334,21,car,12,77.1
335,21,car,0,78.99
336,21,car,14,80.23
337,21,car,16,83.04
338,21,car,15,83.17
339,21,car,17,87.97
340,21,car,18,88.64
341,22,car,0,50.3
342,22,car,20,51.75
343,22,bus,1,52.3
344,22,car,4,52.84
345,22,car,5,65.26
346,22,car,2,66.19
347,22,truck,9,66.65
348,22,car,22,67.82
349,22,car,10,70.02
350,22,car,12,77.63
351,22,car,14,77.95
352,22,car,0,79.78
353,22,car,16,82.98
354,22,car,15,83.34
355,22,car,17,87.98
356,22,car,18,88.39
357,23,car,0,50.57
358,23,car,14,51.58
359,23,car,20,53.44
360,23,bus,1,53.9
361,23,car,4,54.45
362,23,car,5,64.42
363,23,truck,9,66.29
364,23,car,10,66.98
365,23,car,2,75.82
366,23,car,14,77.48
367,23,car,12,77.67
368,23,car,0,80.5
369,23,car,16,83.08
370,23,car,15,83.37
371,23,car,17,87.94
372,23,car,18,88.5
373,24,car,0,51.82
374,24,car,20,54.04
375,24,car,22,54.91
376,24,car,4,55.27
377,24,bus,1,55.3
378,24,car,10,55.43
379,24,car,23,62.88
380,24,car,5,65.27
381,24,truck,9,66.23
382,24,car,14,72.43
383,24,car,12,77.25
384,24,car,0,80.81
385,24,car,16,83.07
386,24,car,15,83.33
387,24,car,2,85.89
388,24,car,17,87.96
389,24,car,18,88.46
390,25,car,20,51.74
391,25,bus,1,52.22
392,25,car,0,52.72
393,25,car,4,57.92
394,25,car,23,58.31
395,25,car,10,63.97
396,25,car,5,67.49
397,25,truck,9,67.7
398,25,car,14,68.3
399,25,car,14,70.35
400,25,car,12,76.02
401,25,car,0,81.37
402,25,car,15,83.2
403,25,car,16,83.35
404,25,car,2,83.81
405,25,car,17,87.82
406,25,car,18,88.58
407,26,car,20,51.22
408,26,bus,1,52.5
409,26,car,0,52.53
410,26,car,4,57.97
411,26,car,23,58.6
412,26,car,10,63.65
413,26,car,5,67.12
414,26,truck,9,67.68
415,26,car,14,68.13
416,26,car,14,70.2
417,26,car,12,76.18
418,26,car,0,81.33
419,26,car,15,83.2
420,26,car,16,83.27
421,26,car,2,83.76
422,26,car,17,87.85
423,26,car,18,88.66
424,27,car,0,53.33
425,27,bus,1,54.47
426,27,car,4,57.79
427,27,car,14,58.1
428,27,car,2,59.03
429,27,car,20,62.03
430,27,car,10,62.07
431,27,car,23,63.68
432,27,car,14,65.47
433,27,truck,9,67.49
434,27,car,5,67.59
435,27,car,12,76.79
436,27,car,0,81.73
437,27,car,16,83.31
438,27,car,15,83.36
439,27,car,17,87.97
440,27,car,2,88.3
441,27,car,18,88.79
442,28,car,2,53.4
443,28,car,0,54.82
444,28,bus,1,55.56
445,28,car,4,58.46
446,28,car,23,59.79
447,28,car,14,60.81
448,28,car,20,61.18
449,28,car,10,63.05
450,28,truck,9,66.85
451,28,car,5,68.21
452,28,car,14,74.34
453,28,car,12,78.37
454,28,car,0,81.94
455,28,car,15,83.19
456,28,car,16,83.42
457,28,car,2,83.95
458,28,car,17,87.74
459,28,car,18,88.57
460,29,car,0,54.94
461,29,bus,1,55.06
462,29,car,4,56.46
463,29,car,10,61.3
464,29,car,14,62.85
465,29,car,2,64.52
466,29,truck,9,67.36
467,29,car,14,67.37
468,29,car,5,67.38
469,29,car,20,68.33
470,29,car,23,74.96
471,29,car,12,78.83
472,29,car,0,81.55
473,29,car,16,83.23
474,29,car,15,83.26
475,29,car,2,86.79
476,29,car,17,87.96
477,29,car,18,88.39
478,30,bus,1,54.54
479,30,car,0,56.88
480,30,car,4,56.95
481,30,car,14,59.93
482,30,car,10,59.97
483,30,car,2,63.31
484,30,car,20,65.94
485,30,truck,9,66.46
486,30,car,14,68.92
487,30,car,5,69.1
488,30,car,23,75.4
489,30,car,12,78.96
490,30,car,0,81.87
491,30,car,16,83.04
492,30,car,15,83.29
493,30,car,2,87.27
494,30,car,17,88.14
495,30,car,18,88.61
496,31,bus,1,51.22
497,31,car,4,54.22
498,31,car,0,55.63
499,31,truck,9,66.07
500,31,car,14,67.54
501,31,car,5,68.62
502,31,car,20,73.97
503,31,car,12,79.54
504,31,car,2,79.78
505,31,car,23,80.1
506,31,car,0,81.23
507,31,car,16,82.93
508,31,car,15,83.59
509,31,car,2,86.87
510,31,car,17,88.03
511,31,car,18,88.6
512,32,bus,1,51.19
513,32,car,4,54.2
514,32,car,0,55.61
515,32,truck,9,66.12
516,32,car,14,67.59
517,32,car,5,68.67
518,32,car,20,73.9
519,32,car,12,79.54
520,32,car,2,79.72
521,32,car,23,80.13
522,32,car,0,81.23
523,32,car,16,82.98
524,32,car,15,83.56
525,32,car,2,86.84
526,32,car,17,87.99
527,32,car,18,88.66
528,33,car,14,50.88
529,33,bus,1,54.91
530,33,car,10,56.29
531,33,car,0,56.37
532,33,car,4,56.97
533,33,truck,9,65.7
534,33,car,14,69.47
535,33,car,5,70.86
536,33,car,20,75.29
537,33,car,23,75.61
538,33,car,2,76.7
539,33,car,12,79.68
540,33,car,0,81.59
541,33,car,16,82.42
542,33,car,15,83.47
543,33,car,2,87.97
544,33,car,17,88.09
545,33,car,18,88.92
546,34,bus,1,52.03
547,34,car,10,53.99
548,34,car,0,54.74
549,34,car,14,55.2
550,34,car,4,55.91
551,34,truck,9,66.31
552,34,car,14,67.66
553,34,car,5,69.48
554,34,car,20,71.64
555,34,car,23,71.94
556,34,car,2,75.44
557,34,car,12,79.06
558,34,car,0,81.08
559,34,car,16,82.46
560,34,car,15,83.49
561,34,car,2,86.93
562,34,car,17,88.06
563,34,car,18,88.93
564,35,bus,1,53.05
565,35,car,0,54.11
566,35,car,4,54.81
567,35,truck,9,65.91
568,35,car,5,69.0
569,35,car,14,71.84
570,35,car,2,75.1
571,35,car,20,75.26
572,35,car,12,78.93
573,35,car,0,80.48
574,35,car,11,81.14
575,35,car,16,82.54
576,35,car,15,83.62
577,35,car,24,85.46
578,35,car,17,88.09
579,35,car,18,88.8
580,36,car,14,51.65
581,36,car,4,52.56
582,36,car,0,52.94
583,36,bus,1,53.27
584,36,truck,9,66.24
585,36,car,5,67.5
586,36,car,14,69.92
587,36,car,20,74.77
588,36,car,2,77.62
589,36,car,11,77.81
590,36,car,12,79.28
591,36,car,0,80.05
592,36,car,16,82.54
593,36,car,15,83.59
594,36,car,17,88.09
595,36,car,18,88.78
596,36,car,24,88.85
597,37,car,4,50.76
598,37,car,0,51.12
599,37,bus,1,51.22
600,37,car,14,53.15
601,37,car,8,58.27
602,37,car,5,65.42
603,37,truck,9,66.18
604,37,car,14,68.53
605,37,car,20,71.68
606,37,car,2,77.27
607,37,car,12,78.75
608,37,car,0,78.87
609,37,car,16,82.57
610,37,car,15,83.59
611,37,car,2,86.7
612,37,car,17,88.19
613,37,car,18,88.87
614,38,car,4,50.77
615,38,car,0,51.14
616,38,bus,1,51.2
617,38,car,14,53.03
618,38,car,8,58.39
619,38,car,5,65.4
620,38,truck,9,66.2
621,38,car,14,68.46
622,38,car,20,71.42
623,38,car,24,77.53
624,38,car,12,78.74
625,38,car,0,78.87
626,38,car,16,82.57
627,38,car,15,83.57
628,38,car,2,86.87
629,38,car,17,88.18
630,38,car,18,88.87
631,39,bus,1,51.46
632,39,car,0,52.9
633,39,car,4,54.18
634,39,car,14,54.42
635,39,car,8,65.31
636,39,truck,9,66.6
637,39,car,5,68.2
638,39,car,14,70.73
639,39,car,20,71.08
640,39,car,2,76.88
641,39,car,12,78.8
642,39,car,0,80.18
643,39,car,16,82.72
644,39,car,15,83.65
645,39,car,25,87.83
646,39,car,17,88.21
647,39,car,18,89.07
648,40,bus,1,51.01
649,40,car,0,52.92
650,40,car,14,53.66
651,40,car,4,54.04
652,40,car,5,67.64
653,40,truck,9,67.86
654,40,car,14,68.19
655,40,car,20,68.47
656,40,car,8,71.82
657,40,car,2,76.21
658,40,car,12,77.7
659,40,car,0,80.04
660,40,car,16,82.79
661,40,car,15,83.42
662,40,car,17,87.97
663,40,car,18,88.86
664,40,car,2,89.1
665,41,car,0,53.42
666,41,car,14,53.74
667,41,car,4,54.77
668,41,car,5,67.04
669,41,truck,9,68.09
670,41,car,8,68.61
671,41,car,14,70.68
672,41,car,8,70.99
673,41,car,2,76.41
674,41,car,12,77.8
675,41,car,0,80.79
676,41,car,16,82.76
677,41,car,15,83.41
678,41,car,17,87.92
679,41,car,18,88.71
680,41,car,25,88.72
681,42,car,0,53.41
682,42,car,14,53.68
683,42,car,4,54.73
684,42,car,5,67.08
685,42,truck,9,68.09
686,42,car,8,69.03
687,42,car,14,70.7
688,42,car,8,71.66
689,42,car,2,76.15
690,42,car,12,77.81
691,42,car,0,80.77
692,42,car,16,82.76
693,42,car,15,83.41
694,42,car,17,87.92
695,42,car,25,88.69
696,42,car,18,88.72
697,43,car,0,52.11
698,43,car,8,52.69
699,43,bus,1,54.05
700,43,car,4,54.85
701,43,car,14,61.97
702,43,car,5,67.17
703,43,truck,9,68.32
704,43,car,2,75.87
705,43,car,8,76.39
706,43,car,12,78.27
707,43,car,25,78.98
708,43,car,0,80.31
709,43,car,16,82.85
710,43,car,15,83.5
711,43,car,17,88.08
712,43,car,18,88.66
713,44,car,0,52.12
714,44,car,8,52.71
715,44,bus,1,54.09
716,44,car,4,54.83
717,44,car,14,62.0
718,44,car,5,67.16
719,44,truck,9,68.32
720,44,car,2,75.85
721,44,car,8,76.29
722,44,car,12,78.26
723,44,car,25,79.02
724,44,car,0,80.31
725,44,car,16,82.85
726,44,car,15,83.49
727,44,car,17,88.07
728,44,car,18,88.63
729,45,car,0,50.92
730,45,car,14,51.84
731,45,bus,1,51.91
732,45,car,4,55.3
733,45,car,8,57.72
734,45,car,5,66.4
735,45,car,14,67.33
736,45,truck,9,68.53
737,45,car,2,75.32
738,45,car,12,78.28
739,45,car,0,79.7
740,45,car,16,82.67
741,45,car,15,83.8
742,45,car,17,88.09
743,45,car,25,88.17
744,45,car,18,88.45
745,46,car,0,52.45
746,46,car,8,55.28
747,46,car,4,55.65
748,46,car,14,56.41
749,46,car,5,66.96
750,46,truck,9,68.34
751,46,car,2,76.47
752,46,car,12,78.39
753,46,car,0,79.79
754,46,car,16,82.59
755,46,car,15,83.67
756,46,car,25,84.38
757,46,car,17,87.93
758,46,car,18,88.5
759,47,car,0,52.35
760,47,car,8,52.93
761,47,car,4,55.51
762,47,car,14,56.22
763,47,car,5,66.88
764,47,truck,9,68.3
765,47,car,2,76.49
766,47,car,12,78.37
767,47,car,0,79.73
768,47,car,16,82.59
769,47,car,15,83.66
770,47,car,25,84.41
771,47,car,17,87.93
772,47,car,18,88.49
773,48,car,8,50.45
774,48,bus,1,51.87
775,48,car,0,53.39
776,48,car,4,56.92
777,48,car,10,56.94
778,48,car,10,59.85
779,48,car,5,66.85
780,48,truck,9,68.07
781,48,car,2,76.67
782,48,car,12,78.29
783,48,car,0,80.76
784,48,car,16,82.48
785,48,car,15,83.72
786,48,car,19,86.46
787,48,car,17,87.91
788,48,car,18,88.5
789,49,car,10,51.01
790,49,car,7,51.38
791,49,bus,1,53.04
792,49,car,0,55.43
793,49,car,7,56.78
794,49,car,4,57.12
795,49,car,5,66.35
796,49,truck,9,68.06
797,49,car,2,76.58
798,49,car,12,77.76
799,49,car,0,81.45
800,49,car,16,82.7
801,49,car,15,83.35
802,49,car,19,86.6
803,49,car,17,87.91
804,49,car,18,88.7
805,50,car,7,50.27
806,50,car,10,50.69
807,50,bus,1,53.15
808,50,car,0,55.33
809,50,car,7,55.4
810,50,car,4,57.16
811,50,car,5,66.22
812,50,truck,9,68.1
813,50,car,2,76.25
814,50,car,12,77.77
815,50,car,0,81.43
816,50,car,16,82.64
817,50,car,15,83.39
818,50,car,19,86.49
819,50,car,17,87.91
820,50,car,18,88.73
821,51,bus,1,51.87
822,51,car,0,55.86
823,51,car,4,58.38
824,51,car,10,59.23
825,51,truck,9,67.48
826,51,car,5,67.66
827,51,car,12,78.1
828,51,car,2,80.52
829,51,car,0,81.68
830,51,car,16,82.64
831,51,car,15,83.26
832,51,car,19,87.32
833,51,car,17,87.93
834,51,car,18,88.88
835,52,car,0,53.36
836,52,car,4,57.44
837,52,car,10,58.48
838,52,truck,9,66.07
839,52,car,5,67.17
840,52,car,2,74.01
841,52,car,12,77.77
842,52,car,0,80.96
843,52,car,16,82.88
844,52,car,15,83.15
845,52,car,19,86.07
846,52,car,17,88.0
847,52,car,18,88.66
848,53,car,0,54.45
849,53,car,4,55.45
850,53,truck,9,63.42
851,53,car,10,67.04
852,53,car,5,69.49
853,53,car,2,76.23
854,53,car,12,77.32
855,53,car,0,81.09
856,53,car,16,82.62
857,53,car,15,83.0
858,53,car,19,85.33
859,53,car,17,87.82
860,53,car,18,88.96
861,54,car,0,56.24
862,54,car,4,58.0
863,54,truck,9,64.46
864,54,car,2,68.13
865,54,car,5,70.3
866,54,car,10,71.73
867,54,car,12,77.48
868,54,car,19,78.53
869,54,car,0,82.03
870,54,car,16,82.5
871,54,car,15,83.03
872,54,car,17,87.79
873,54,car,18,88.95
874,55,car,0,56.99
875,55,car,4,57.48
876,55,car,10,62.86
877,55,truck,9,64.33
878,55,car,5,68.84
879,55,car,2,75.69
880,55,car,12,77.89
881,55,car,0,81.76
882,55,car,16,82.47
883,55,car,15,82.9
884,55,car,19,85.28
885,55,car,17,87.82
886,55,car,18,89.27
887,56,car,0,57.0
888,56,car,4,57.5
889,56,car,10,62.95
890,56,truck,9,64.31
891,56,car,5,68.86
892,56,car,2,75.68
893,56,car,12,77.89
894,56,car,0,81.76
895,56,car,16,82.48
896,56,car,15,82.9
897,56,car,19,85.28
898,56,car,17,87.82
899,56,car,18,89.26
900,57,car,10,53.37
901,57,car,0,55.11
902,57,car,4,56.21
903,57,truck,9,63.88
904,57,car,5,67.16
905,57,car,12,77.7
906,57,car,2,80.32
907,57,car,0,81.15
908,57,car,16,82.59
909,57,car,15,82.94
910,57,car,19,86.09
911,57,car,17,87.81
912,57,car,18,89.11
913,58,bus,1,50.85
914,58,car,0,54.8
915,58,car,4,55.29
916,58,truck,9,62.95
917,58,car,10,67.75
918,58,car,5,67.9
919,58,car,12,77.68
920,58,car,2,80.58
921,58,car,0,80.99
922,58,car,16,82.59
923,58,car,15,82.93
924,58,car,19,84.67
925,58,car,17,87.82
926,58,car,18,89.18
927,59,bus,1,50.0
928,59,car,0,51.4
929,59,car,4,53.33
930,59,truck,9,64.42
931,59,car,26,66.08
932,59,car,5,68.96
933,59,car,10,70.02
934,59,car,12,78.6
935,59,car,0,79.66
936,59,car,2,79.91
937,59,car,16,82.69
938,59,car,15,82.81
939,59,car,19,82.95
940,59,car,17,87.92
941,59,car,18,89.17
942,60,car,4,51.58
943,60,car,0,51.67
944,60,car,10,58.76
945,60,truck,9,64.62
946,60,car,5,69.67
947,60,car,2,74.09
948,60,car,26,76.17
949,60,car,12,77.83
950,60,car,0,79.2
951,60,car,16,82.6
952,60,car,15,83.03
953,60,car,19,83.84
954,60,car,17,87.72
955,60,car,18,89.19
956,61,car,0,52.37
957,61,car,4,53.64
958,61,truck,9,64.29
959,61,car,10,65.2
960,61,car,5,71.2
961,61,car,2,74.28
962,61,car,12,77.64
963,61,car,26,78.57
964,61,car,0,79.86
965,61,car,19,81.19
966,61,car,16,82.69
967,61,car,15,83.03
968,61,car,17,87.74
969,61,car,18,89.22
970,62,car,0,52.35
971,62,car,4,53.61
972,62,truck,9,64.3
973,62,car,10,65.17
974,62,car,5,71.19
975,62,car,2,74.23
976,62,car,12,77.64
977,62,car,26,78.56
978,62,car,0,79.85
979,62,car,19,81.11
980,62,car,16,82.69
981,62,car,15,83.03
982,62,car,17,87.74
983,62,car,18,89.22
984,63,car,0,52.87
985,63,car,4,53.71
986,63,car,10,58.78
987,63,truck,9,65.71
988,63,car,5,70.03
989,63,car,2,74.2
990,63,car,26,77.13
991,63,car,12,77.53
992,63,car,19,79.81
993,63,car,0,80.21
994,63,car,16,82.63
995,63,car,15,83.23
996,63,car,17,87.77
997,63,car,18,89.25
998,64,car,0,53.45
999,64,car,4,53.52
1000,64,car,10,56.87
1001,64,truck,9,66.64
1002,64,car,5,69.27
1003,64,car,26,72.85
1004,64,car,2,74.01
1005,64,car,12,76.9
1006,64,car,19,78.33
1007,64,car,0,80.69
1008,64,car,16,83.05
1009,64,car,15,83.21
1010,64,car,17,87.9
1011,64,car,18,89.13
1012,65,car,0,54.29
1013,65,car,4,54.91
1014,65,truck,9,66.68
1015,65,car,5,69.17
1016,65,car,2,70.37
1017,65,car,24,75.33
1018,65,car,12,76.74
1019,65,car,19,78.23
1020,65,car,0,81.53
1021,65,car,16,83.12
1022,65,car,15,83.14
1023,65,car,17,87.91
1024,65,car,18,89.24
1025,66,bus,1,52.59
1026,66,car,11,53.78
1027,66,car,10,54.0
1028,66,car,4,54.82
1029,66,car,0,55.09
1030,66,truck,9,66.08
1031,66,car,5,70.55
1032,66,car,2,71.61
1033,66,car,12,77.2
1034,66,car,19,79.41
1035,66,car,0,81.8
1036,66,car,24,82.23
1037,66,car,16,83.23
1038,66,car,15,83.52
1039,66,car,17,87.91
1040,66,car,18,89.1
1041,67,bus,1,50.94
1042,67,car,4,56.41
1043,67,car,5,61.86
1044,67,truck,9,63.51
1045,67,car,12,73.11
1046,67,car,2,75.0
1047,67,car,0,81.34
1048,67,car,19,82.1
1049,67,car,15,82.71
1050,67,car,16,83.81
1051,67,car,24,87.59
1052,67,car,17,87.86
1053,67,car,18,88.89
1054,68,bus,1,50.56
1055,68,car,4,56.77
1056,68,car,5,61.75
1057,68,truck,9,63.9
1058,68,car,12,73.23
1059,68,car,2,75.18
1060,68,car,0,81.27
1061,68,car,19,82.12
1062,68,car,15,82.65
1063,68,car,16,83.76
1064,68,car,24,87.64
1065,68,car,17,87.85
1066,68,car,18,88.88
1067,69,car,11,53.87
1068,69,car,4,56.03
1069,69,car,5,60.98
1070,69,truck,9,64.35
1071,69,car,12,73.37
1072,69,car,2,74.66
1073,69,car,0,80.63
1074,69,car,19,80.79
1075,69,car,15,82.61
1076,69,car,16,83.65
1077,69,car,26,87.32
1078,69,car,17,87.82
1079,69,car,18,88.93
1080,70,car,0,51.83
1081,70,car,4,56.42
1082,70,car,5,62.39
1083,70,truck,9,64.29
1084,70,car,12,74.14
1085,70,car,19,78.99
1086,70,car,2,79.57
1087,70,car,0,81.34
1088,70,car,15,82.57
1089,70,car,16,83.68
1090,70,car,26,85.43
1091,70,car,17,87.84
1092,70,car,18,89.05
1093,71,car,0,51.71
1094,71,car,4,56.63
1095,71,car,5,62.62
1096,71,truck,9,64.12
1097,71,car,12,74.49
1098,71,car,0,80.95
1099,71,car,19,81.02
1100,71,car,2,82.18
1101,71,car,15,82.59
1102,71,car,16,83.63
1103,71,car,17,87.91
1104,71,car,26,88.89
1105,71,car,18,89.21
1106,72,car,0,53.99
1107,72,car,4,56.63
1108,72,car,5,63.08
1109,72,truck,9,65.58
1110,72,car,12,74.16
1111,72,car,0,82.02
1112,72,car,2,82.16
1113,72,car,14,82.79
1114,72,car,15,83.14
1115,72,car,16,83.73
1116,72,car,17,88.03
1117,72,car,26,88.3
1118,72,car,18,89.11
1119,73,car,0,54.53
1120,73,car,4,56.09
1121,73,car,5,63.24
1122,73,truck,9,64.09
1123,73,car,12,75.16
1124,73,car,0,81.99
1125,73,car,2,83.02
1126,73,car,16,83.39
1127,73,car,15,83.6
1128,73,car,14,86.93
1129,73,car,17,88.03
1130,73,car,26,89.19
1131,73,car,18,89.27
1132,74,car,0,54.61
1133,74,car,4,56.27
1134,74,car,5,63.46
1135,74,truck,9,63.58
1136,74,car,12,75.26
1137,74,car,0,82.03
1138,74,car,2,82.99
1139,74,car,16,83.32
1140,74,car,15,83.62
1141,74,car,14,86.9
1142,74,car,17,88.05
1143,74,car,26,89.15
